ID,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,level
27,10345300,10345257,10345174,60,52,5871778,5870638,517262.85,470235.1818,4.253139107,2260.446773,13,5870638,240588.3721,1022684.725,4092108,4981436,5870764,1257699.719,3435979,4653308.5,5870638,1721563.889,CHAT
28,14966353,14966200,14966053,7,0,635321,635242,10502.59649,5615.779737,273.4133025,227450.3348,0,635042,3658.360548,21347.57514,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
29,272867,233627,272820,20303,19353,213324,253467,116813.5,136410,21.98873444,8733.192361,47,213324,54573.4,90181.73715,-1,0,-1,0,-1,0,-1,0,CHAT
30,14999391,14998887,14999391,0,0,149034,146556,9062.771601,4758.690038,320.6130169,277900.9494,0,146556,3119.673669,9995.782325,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
31,7190597,7189947,7190597,116,492,6555090,6594711,898743.375,898824.625,2.5032692,1137.179569,12,6555090,422976.2941,1582350.334,7051063,7051063,7051063,0,6555090,6555090,6555090,0,CHAT
32,14990289,14990249,14990288,0,0,335322,335264,10482.69161,5736.811328,269.841362,223305.4346,0,335264,3706.797478,13031.17863,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
33,4894345,4894050,4894345,8600,354,1857545,1857548,444913.6364,407862.0833,5.107935791,2363.952684,24,1857504,203931.0417,463960.7295,1796398,2139641,2482884,485418.9058,1438583,1648043.5,1857504,296221.8799,CHAT
34,13843963,13842978,13843963,9,0,2192110,2192320,16077.79094,8943.128553,174.155334,145403.5235,0,2191964,5744.382988,52777.39753,11840857,11800000,11840857,0,2191964,2191964,2191964,0,VIDEO-STREAMING
35,3334635,3334345,3334447,123,61,1028396,1028363,123494.2593,133377.88,16.19367637,6876.614682,16,1028116,62917.64151,160897.8911,2322320,2322320,2322320,0,1028116,1028116,1028116,0,CHAT
36,14997888,14997526,14997032,0,0,132108,131547,5902.214089,3006.622294,502.1373676,438405.4608,0,131252,1991.751394,7511.20077,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
37,8959011,8920202,8959011,83,57,6093327,6092759,892020.2,895901.1,2.455628194,933.8084304,15,6092759,426619.5714,1362168.146,1895443,4285730.5,6676018,3380377,1894923,3993841,6092759,2968318.302,CHAT
38,14989818,14989753,14989818,0,0,92205,92167,5415.373194,2768.714075,545.9706048,482524.1374,0,92155,1831.82427,6492.572219,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
39,2207463,2207400,2207418,14674,14204,2000354,1959996,735800,735806,3.624069803,1594.590713,45,1959933,315351.8571,728474.7298,2207400,2207400,2207400,0,1959933,1959933,1959933,0,CHAT
40,14998525,14998483,14998518,0,0,129551,129362,7586.48609,3898.756953,388.4381964,341171.2152,0,129362,2574.854077,8572.744123,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
41,14962939,14962891,14962650,0,0,902751,902507,18158.8483,11116.38187,145.1586483,106701.6981,0,902074,6892.187471,32998.87076,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
42,8982978,8944191,8982978,487,386,8249991,8211318,894419.1,998108.6667,2.337754807,987.3117801,16,8211260,449148.9,1828308.862,8734001,8734001,8734001,0,8211260,8211260,8211260,0,CHAT
43,14964295,14964249,14964281,0,0,115266,115210,8766.40246,4520.930816,335.3983599,297247.0136,0,115203,2982.123356,9079.001676,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
44,14968099,14967029,14919654,0,0,318880,318588,16798.01235,9828.494071,161.0758988,126278.5608,0,318588,6210.829461,24161.97707,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
45,240234,203515,240183,15157,14814,188358,225369,101757.5,120091.5,24.97564874,9919.495159,51,188358,48046.8,79849.99786,-1,0,-1,0,-1,0,-1,0,CHAT
46,14979601,14979554,14979596,0,0,764149,763267,9784.163292,5003.205077,302.2109868,266804.5698,0,763267,3309.67764,17053.23419,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
47,7250309,7250309,7249995,112656,112686,6553509,6553833,1812577.25,1812498.75,1.37925156,500.5303912,30,6553509,805589.8889,2159056.105,6817532,6817532,6817532,0,6553509,6553509,6553509,0,CHAT
48,14633355,14633355,14632000,6,34,1707112,1707109,41809.58571,47661.23779,45.03410189,26701.66889,5,1707073,22239.14134,85961.4958,2006278,2006278,2006278,0,1707073,1707073,1707073,0,VOIP
49,47,0,0,-1,-1,-1,-1,0,0,42553.19149,24200000,47,47,47,0,-1,0,-1,0,-1,0,-1,0,CHAT
50,14714514,14714456,14714514,0,0,127709,127543,8220.36648,4247.838915,357.1983417,314780.8348,0,127543,2800.097812,10108.4011,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
51,14944686,14944446,14944686,12,0,241672,280953,13051.9179,7601.569685,208.3014658,167744.2403,0,241630,4802.276992,16888.5118,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
52,9224162,9224104,9224131,467,112424,8778285,8778937,2306026,3074710.333,0.975698389,441.6661373,31,8778285,1153020.25,3083272.946,8778343,8778343,8778343,0,8778285,8778285,8778285,0,CHAT
53,14660517,14660517,14618019,333,613,7663754,7663955,1628946.333,1827252.375,1.295997952,455.3045435,36,7663347,814473.1667,2116240.746,6381394,7023854.5,7666315,908576.3524,5314745,6489046,7663347,1660712.401,VOIP
54,14832948,14832905,14792242,7,12,788476,825018,43244.62099,43506.59412,46.18097495,25954.17984,0,788476,21685.59649,69150.61424,-1,0,-1,0,-1,0,-1,0,VOIP
55,14513236,14475441,14513053,4194,3900,11068604,11068235,761865.3158,853709,2.618299599,1065.510132,11,11068235,392249.6216,1814236.563,2002129,6819042,11635955,6812143.693,1001417,6034826,11068235,7118315.273,CHAT
56,14984163,14984114,14983922,-18,0,136249,176164,8380.376957,4281.120571,353.0394057,311081.5065,-68,136189,2833.080545,10330.60484,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
57,6879553,6879502,6879499,257,64829,4101353,4101332,859937.75,982785.5714,2.471090782,879.7083183,29,4101299,429972.0625,1106730.653,2207693,3383923.5,4560154,1663441.126,2094990,3098144.5,4101299,1418674.699,CHAT
58,13932812,13932390,13932812,93,244,8119562,8081967,324009.0698,284343.102,6.746663918,2661.200051,27,8081967,149815.1828,849049.3747,1506874,6966222,12425570,7720683.983,1469335,4775651,8081967,4675836.929,VOIP
59,14999975,14999975,14961989,0,7,1624147,1624060,21037.8331,29394.87033,81.600136,55546.49258,0,1623923,12264.90188,70207.71967,3249302,3525820,3802338,391055.5058,1288308,1456115.5,1623923,237315.6424,VOIP
60,14911602,14911602,14911195,194693,194699,14178405,14177996,4970534,4970398.333,0.536495006,201.5879984,40,14177996,2130228.857,5316300.01,14911239,14900000,14911239,0,14177996,14200000,14177996,0,CHAT
61,14998823,14998782,14998812,0,0,99226,131591,8473.888136,4398.478592,345.4937764,303375.6049,0,98913,2894.966802,9720.718526,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
62,8218101,8218101,8217859,64958,64956,3119525,3119860,1174014.429,1173979.857,1.946921801,794.1007296,30,3119525,547873.4,1061884.196,3661769,3788129,3914489,178700.0257,3069913,3094719,3119525,35080.98161,CHAT
63,14952839,14952788,14952830,0,0,280572,280508,12078.18094,6492.761615,236.9449708,202567.4857,0,280500,4221.580745,15077.13128,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
64,616,563,281,85,15,210,266,140.75,140.5,12987.01299,10600000,15,164,88,46.61723573,-1,0,-1,0,-1,0,-1,0,CHAT
65,14798151,14798098,14798110,1879,2221,7357859,7358010,2466349.667,2466351.667,0.94606414,294.6989796,41,7357568,1138319.308,2515361.482,1030457,4879508.667,7359789,3379387.831,1030015,4838290,7357568,3354939.149,VOIP
66,14997819,14997455,14997589,1,0,498940,501071,19129.40689,21183.03531,99.61448395,51734.38885,0,498940,10045.42465,25677.84928,-1,0,-1,0,-1,0,-1,0,VOIP
